indicator,geo,sector,period,available_at,value,availability_basis,source_url,retrieved_at
industrial_production,ES,industry,2025-07-01,2026-09-19,102.3,retrieval_only_latest_revision,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/sts_inpr_m?lang=EN&geo=ES&sinceTimePeriod=2024-01&untilTimePeriod=2026-08&s_adj=SCA&unit=I21&nace_r2=B-D,2026-09-19
industrial_production,ES,industry,2025-08-01,2026-09-19,102.1,retrieval_only_latest_revision,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/sts_inpr_m?lang=EN&geo=ES&sinceTimePeriod=2024-01&untilTimePeriod=2026-08&s_adj=SCA&unit=I21&nace_r2=B-D,2026-09-19
industrial_production,ES,industry,2025-09-01,2026-09-19,102.6,retrieval_only_latest_revision,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/sts_inpr_m?lang=EN&geo=ES&sinceTimePeriod=2024-01&untilTimePeriod=2026-08&s_adj=SCA&unit=I21&nace_r2=B-D,2026-09-19
industrial_production,ES,industry,2025-10-01,2026-09-19,103.3,retrieval_only_latest_revision,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/sts_inpr_m?lang=EN&geo=ES&sinceTimePeriod=2024-01&untilTimePeriod=2026-08&s_adj=SCA&unit=I21&nace_r2=B-D,2026-09-19
industrial_production,ES,industry,2025-11-01,2026-09-19,104.5,retrieval_only_latest_revision,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/sts_inpr_m?lang=EN&geo=ES&sinceTimePeriod=2024-01&untilTimePeriod=2026-08&s_adj=SCA&unit=I21&nace_r2=B-D,2026-09-19
industrial_production,ES,industry,2025-12-01,2026-09-19,102.0,retrieval_only_latest_revision,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/sts_inpr_m?lang=EN&geo=ES&sinceTimePeriod=2024-01&untilTimePeriod=2026-08&s_adj=SCA&unit=I21&nace_r2=B-D,2026-09-19
industrial_production,ES,industry,2026-01-01,2026-09-19,101.3,retrieval_only_latest_revision,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/sts_inpr_m?lang=EN&geo=ES&sinceTimePeriod=2024-01&untilTimePeriod=2026-08&s_adj=SCA&unit=I21&nace_r2=B-D,2026-09-19
industrial_production,ES,industry,2026-02-01,2026-09-19,101.4,retrieval_only_latest_revision,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/sts_inpr_m?lang=EN&geo=ES&sinceTimePeriod=2024-01&untilTimePeriod=2026-08&s_adj=SCA&unit=I21&nace_r2=B-D,2026-09-19
industrial_production,ES,industry,2026-03-01,2026-09-19,104.1,retrieval_only_latest_revision,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/sts_inpr_m?lang=EN&geo=ES&sinceTimePeriod=2024-01&untilTimePeriod=2026-08&s_adj=SCA&unit=I21&nace_r2=B-D,2026-09-19
industrial_production,ES,industry,2026-04-01,2026-09-19,103.6,retrieval_only_latest_revision,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/sts_inpr_m?lang=EN&geo=ES&sinceTimePeriod=2024-01&untilTimePeriod=2026-08&s_adj=SCA&unit=I21&nace_r2=B-D,2026-09-19
